fixture_id,captured_atomic,reserved_refund_atomic,completed_refund_atomic,run_id,fixture_sha256,oracle_sha256,policy_workload_hash,data_classification,claim_boundary
hp-01,12500000,0,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
hp-02,25000000,0,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
hp-03,5000000,0,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
hp-04,100000000,0,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
ex-01-authorization-reject,0,0,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
ex-02-preparation-failure,0,0,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
ex-03-timeout-late-success,30000000,0,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
ex-04-conclusive-failure,0,0,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
ex-05-paid-lost-delivery,45000000,0,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
ex-06-repeated-across-restart,9000000,0,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
ex-07-duplicate-request,18000000,0,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
ex-08-second-authorization,22000000,0,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
ex-09-evidence-mismatch,0,0,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
ex-10-cross-order-evidence-reuse,20000000,0,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
ex-11-prefinality-invalidated,0,0,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
ex-12-concurrent-refunds,100000000,70000000,0,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
